#,Title,Director,Genre,Shelf
1,Adele Live at the Royal Albert Hall,Various,Music/Concert,Modern Music
2,Alfie Live: The Bring Him Home Tour,Various,Music/Concert,Modern Music
3,Amici Forever,Various,Music/Concert,Modern Music
4,Bachelor Lounge,Various,Music/Concert,Modern Music
5,Barbra Streisand Live at the Village Vanguard,Various,Music/Concert,Modern Music
6,Billy Joel: The Ultimate Collection,Various,Music/Concert,Modern Music
7,Brian Wilson Presents Smile,Various,Music/Concert,Modern Music
8,Bruce Springsteen: Storytellers,Various,Music/Concert,Modern Music
9,Carole King in Concert,Various,Music/Concert,Modern Music
10,Dionne Warwick & Burt Bacharach,Various,Music/Concert,Modern Music
11,Fleetwood Mac: The Dance,Various,Music/Concert,Modern Music
12,Frank Sinatra: Ol' Blue Eyes Is Back,Various,Music/Concert,Modern Music
13,James Last: A World of Music,Various,Music/Concert,Modern Music
14,James Last: Gentleman of Music,Various,Music/Concert,Modern Music
15,Judith Durham: The Seekers - 25 Year Reunion,Various,Music/Concert,Modern Music
16,Ladies & Gentlemen... Sole Mio: Live in Concert,Various,Music/Concert,Modern Music
17,Louis Armstrong & Benny Goodman,Various,Music/Concert,Modern Music
18,Neil Young: Crazy Horse - Rust Never Sleeps,Various,Music/Concert,Modern Music
19,Ray Charles in Concert,Various,Music/Concert,Modern Music
20,Simon & Garfunkel: The Concert in Central Park,Various,Music/Concert,Modern Music
21,Sinatra: All or Nothing at All,Alex Gibney,Music/Documentary,Modern Music
22,Sonny & Cher,Various,Music/Concert,Modern Music
23,The Cliff Richard Movie Collection,Various,Music/Concert,Modern Music
24,The Divas Collection,Various,Music/Concert,Modern Music
25,The Frank Sinatra Show with Dean Martin & Bing Crosby,Various,Music/Concert,Modern Music
26,The Rat Pack Story,Various,Music/Documentary,Modern Music
27,Tony Bennett's New York,Various,Music/Concert,Modern Music
28,Westlife: The Number Ones Tour,Various,Music/Concert,Modern Music
29,Westlife: Unbreakable - The Greatest Hits Vol. 1,Various,Music/Concert,Modern Music
30,Yusuf: Roadsinger Live 2010,Various,Music/Concert,Modern Music
31,3x's Horse: A Man Called Sledge / Hombre / Valance,Various,Western,Movies
32,A Fistful of Dollars,Sergio Leone,Western,Movies
33,A Star is Born,Frank Pierson,Drama/Musical,Movies
34,A Walk in the Clouds,Alfonso Arau,Romance/Drama,Movies
35,Aces High,Jack Gold,War/Drama,Movies
36,Against All Odds,Taylor Hackford,Action/Thriller,Movies
37,Agatha Christie: Marple - The Body in the Library,Various,TV Crime/Mystery,Movies
38,All the King's Men,Steven Zaillian,Drama/Thriller,Movies
39,Allegheny Uprising,William A. Seiter,Western/Adventure,Movies
40,Amadeus: Director's Cut,Milos Forman,Biography/Drama,Movies
41,American Gangster,Ridley Scott,Crime/Drama,Movies
42,An Andy Hardy,Various,Comedy/Classics,Movies
43,Andre Rieu: Christmas in London,Various,Music/Concert,Movies
44,Angels,Various,TV Drama,Movies
45,Anne of the Thousand Days,Charles Jarrott,Biography/Drama,Movies
46,Anonymous,Roland Emmerich,Drama/Thriller,Movies
47,Any Given Sunday,Oliver Stone,Drama/Sport,Movies
48,Apache,Robert Aldrich,Western,Movies
49,Apache Rifles,William Witney,Western,Movies
50,April Love,Henry Levin,Musical/Romance,Movies
51,Are You Being Served?: Series Two,Various,TV Comedy,Movies
52,Around the World in 80 Days,Michael Anderson,Adventure/Comedy,Movies
53,Around the World in 80 Days / Rush Hour,Various,Action/Adventure,Movies
54,Austin Powers,Jay Roach,Comedy,Movies
55,Avalanche,Corey Allen,Action/Thriller,Movies
56,Avatar,James Cameron,Sci-Fi/Action,Movies
57,Battle at Apache Pass,George Sherman,Western,Movies
58,Ben-Hur,William Wyler,Adventure/Drama,Movies
59,Bendy: Becoming Jane,Julian Jarrold,Biography/Romance,Movies
